state,date,year,month,tanf_fams,population,percap_tanf_fams
Alabama,2000-01-01 00:00:00,2000,1,19456.0,4452173,0.00437000089619159
Alabama,2000-02-01 00:00:00,2000,2,19265.0,4452173,0.004327100496768657
Alabama,2000-03-01 00:00:00,2000,3,19202.0,4452173,0.00431295010324172
Alabama,2000-04-01 00:00:00,2000,4,18990.0,4452173,0.0042653329059764745
Alabama,2000-05-01 00:00:00,2000,5,18936.0,4452173,0.004253203997239101
Alabama,2000-06-01 00:00:00,2000,6,18677.0,4452173,0.004195030157183919
Alabama,2000-07-01 00:00:00,2000,7,18411.0,4452173,0.004135284051181299
Alabama,2000-08-01 00:00:00,2000,8,18624.0,4452173,0.004183125857867608
Alabama,2000-09-01 00:00:00,2000,9,18593.0,4452173,0.004176162965814671
Alabama,2000-10-01 00:00:00,2000,10,18723.0,4452173,0.004205362190552793
Alabama,2000-11-01 00:00:00,2000,11,18820.0,4452173,0.0042271493043958535
Alabama,2000-12-01 00:00:00,2000,12,18794.0,4452173,0.004221309459448229
Alabama,2001-01-01 00:00:00,2001,1,18623.0,4467634,0.004168425614094619
Alabama,2001-02-01 00:00:00,2001,2,18385.0,4467634,0.004115153568980808
Alabama,2001-03-01 00:00:00,2001,3,18234.0,4467634,0.004081354918509439
Alabama,2001-04-01 00:00:00,2001,4,18137.0,4467634,0.004059643202643726
Alabama,2001-05-01 00:00:00,2001,5,18200.0,4467634,0.004073744626350323
Alabama,2001-06-01 00:00:00,2001,6,18035.0,4467634,0.004036812326166378
Alabama,2001-07-01 00:00:00,2001,7,18033.0,4467634,0.004036364661921724
Alabama,2001-08-01 00:00:00,2001,8,18232.0,4467634,0.004080907254264785
Alabama,2001-09-01 00:00:00,2001,9,18195.0,4467634,0.004072625465738689
Alabama,2001-10-01 00:00:00,2001,10,18515.0,4467634,0.004144251744883309
Alabama,2001-11-01 00:00:00,2001,11,18645.0,4467634,0.004173349920785812
Alabama,2001-12-01 00:00:00,2001,12,18558.0,4467634,0.004153876526143368
Alabama,2002-01-01 00:00:00,2002,1,18407.0,4480089,0.0041086237349302656
Alabama,2002-02-01 00:00:00,2002,2,18166.0,4480089,0.00405483016074011
