state,date,unemp_rate
Alabama,2000-01-01,5.1
Alaska,2000-01-01,7.2
Arizona,2000-01-01,4.3
Arkansas,2000-01-01,5.0
California,2000-01-01,5.4
Colorado,2000-01-01,3.1
Connecticut,2000-01-01,2.7
Delaware,2000-01-01,3.9
District of Columbia,2000-01-01,6.1
Florida,2000-01-01,3.9
Georgia,2000-01-01,3.8
Hawaii,2000-01-01,4.6
Idaho,2000-01-01,6.0
Illinois,2000-01-01,4.8
Indiana,2000-01-01,3.5
Iowa,2000-01-01,3.5
Kansas,2000-01-01,4.0
Kentucky,2000-01-01,4.6
Louisiana,2000-01-01,5.3
Maine,2000-01-01,4.5
Maryland,2000-01-01,3.6
Massachusetts,2000-01-01,3.7
Michigan,2000-01-01,3.8
Minnesota,2000-01-01,3.8
Mississippi,2000-01-01,5.9
Missouri,2000-01-01,3.4
Montana,2000-01-01,6.1
Nebraska,2000-01-01,3.1
Nevada,2000-01-01,4.4
New Hampshire,2000-01-01,3.3
New Jersey,2000-01-01,4.3
New Mexico,2000-01-01,5.3
New York,2000-01-01,5.3
North Carolina,2000-01-01,3.7
North Dakota,2000-01-01,4.1
Ohio,2000-01-01,4.9
Oklahoma,2000-01-01,3.4
Oregon,2000-01-01,5.7
Pennsylvania,2000-01-01,4.7
Rhode Island,2000-01-01,5.3
South Carolina,2000-01-01,4.5
South Dakota,2000-01-01,3.1
Tennessee,2000-01-01,4.3
Texas,2000-01-01,4.9
Utah,2000-01-01,3.3
Vermont,2000-01-01,3.5
Virginia,2000-01-01,2.9
Washington,2000-01-01,5.7
West Virginia,2000-01-01,6.6
Wisconsin,2000-01-01,3.6
Wyoming,2000-01-01,5.0
Alabama,2000-02-01,5.0
Alaska,2000-02-01,7.2
Arizona,2000-02-01,3.9
Arkansas,2000-02-01,5.0
California,2000-02-01,5.3
Colorado,2000-02-01,3.0
Connecticut,2000-02-01,2.7
Delaware,2000-02-01,3.9
District of Columbia,2000-02-01,6.0
Florida,2000-02-01,3.6
Georgia,2000-02-01,3.7
Hawaii,2000-02-01,4.4
Idaho,2000-02-01,5.8
Illinois,2000-02-01,4.9
Indiana,2000-02-01,3.7
Iowa,2000-02-01,3.2
Kansas,2000-02-01,3.8
Kentucky,2000-02-01,4.9
Louisiana,2000-02-01,4.7
Maine,2000-02-01,4.4
Maryland,2000-02-01,3.7
Massachusetts,2000-02-01,3.5
Michigan,2000-02-01,3.6
Minnesota,2000-02-01,3.5
Mississippi,2000-02-01,5.6
Missouri,2000-02-01,3.7
Montana,2000-02-01,5.9
Nebraska,2000-02-01,3.0
Nevada,2000-02-01,4.1
New Hampshire,2000-02-01,3.3
New Jersey,2000-02-01,4.3
New Mexico,2000-02-01,5.4
New York,2000-02-01,5.3
North Carolina,2000-02-01,3.8
North Dakota,2000-02-01,3.9
Ohio,2000-02-01,4.9
Oklahoma,2000-02-01,3.4
Oregon,2000-02-01,5.8
Pennsylvania,2000-02-01,4.8
Rhode Island,2000-02-01,5.0
South Carolina,2000-02-01,4.2
South Dakota,2000-02-01,3.0
Tennessee,2000-02-01,4.1
Texas,2000-02-01,4.9
Utah,2000-02-01,3.6
Vermont,2000-02-01,3.3
Virginia,2000-02-01,2.9
Washington,2000-02-01,5.9
West Virginia,2000-02-01,7.0
Wisconsin,2000-02-01,4.0
Wyoming,2000-02-01,4.7
Alabama,2000-03-01,4.6
Alaska,2000-03-01,7.2
Arizona,2000-03-01,3.9
Arkansas,2000-03-01,4.5
California,2000-03-01,5.3
Colorado,2000-03-01,2.9
Connecticut,2000-03-01,2.4
Delaware,2000-03-01,3.7
District of Columbia,2000-03-01,5.8
Florida,2000-03-01,3.6
Georgia,2000-03-01,3.6
Hawaii,2000-03-01,4.2
Idaho,2000-03-01,5.6
Illinois,2000-03-01,4.8
Indiana,2000-03-01,3.6
Iowa,2000-03-01,2.9
Kansas,2000-03-01,4.0
Kentucky,2000-03-01,4.5
Louisiana,2000-03-01,4.8
Maine,2000-03-01,4.2
Maryland,2000-03-01,3.5
Massachusetts,2000-03-01,3.3
Michigan,2000-03-01,3.8
Minnesota,2000-03-01,3.7
Mississippi,2000-03-01,5.5
Missouri,2000-03-01,3.7
Montana,2000-03-01,5.8
Nebraska,2000-03-01,2.9
Nevada,2000-03-01,4.1
New Hampshire,2000-03-01,3.1
New Jersey,2000-03-01,4.0
New Mexico,2000-03-01,5.1
New York,2000-03-01,5.0
North Carolina,2000-03-01,3.5
North Dakota,2000-03-01,4.0
Ohio,2000-03-01,4.6
Oklahoma,2000-03-01,3.2
Oregon,2000-03-01,5.8
Pennsylvania,2000-03-01,4.4
Rhode Island,2000-03-01,4.4
South Carolina,2000-03-01,3.5
South Dakota,2000-03-01,2.9
Tennessee,2000-03-01,4.0
Texas,2000-03-01,4.8
Utah,2000-03-01,3.5
Vermont,2000-03-01,3.1
Virginia,2000-03-01,2.6
Washington,2000-03-01,5.5
West Virginia,2000-03-01,6.3
Wisconsin,2000-03-01,4.0
Wyoming,2000-03-01,4.4
Alabama,2000-04-01,4.0
Alaska,2000-04-01,6.6
Arizona,2000-04-01,3.5
Arkansas,2000-04-01,3.8
California,2000-04-01,4.7
Colorado,2000-04-01,2.5
Connecticut,2000-04-01,1.8
Delaware,2000-04-01,3.4
District of Columbia,2000-04-01,4.9
Florida,2000-04-01,3.4
Georgia,2000-04-01,3.2
Hawaii,2000-04-01,4.1
Idaho,2000-04-01,4.8
Illinois,2000-04-01,4.1
Indiana,2000-04-01,2.9
Iowa,2000-04-01,2.5
Kansas,2000-04-01,3.5
Kentucky,2000-04-01,3.6
Louisiana,2000-04-01,4.2
Maine,2000-04-01,3.5
Maryland,2000-04-01,3.1
Massachusetts,2000-04-01,2.6
Michigan,2000-04-01,3.1
Minnesota,2000-04-01,2.8
Mississippi,2000-04-01,4.8
Missouri,2000-04-01,2.8
Montana,2000-04-01,4.8
Nebraska,2000-04-01,2.7
Nevada,2000-04-01,3.8
New Hampshire,2000-04-01,2.7
New Jersey,2000-04-01,3.3
New Mexico,2000-04-01,4.7
New York,2000-04-01,4.3
North Carolina,2000-04-01,3.1
North Dakota,2000-04-01,3.1
Ohio,2000-04-01,3.8
Oklahoma,2000-04-01,2.5
Oregon,2000-04-01,5.0
Pennsylvania,2000-04-01,3.7
Rhode Island,2000-04-01,3.6
South Carolina,2000-04-01,3.1
South Dakota,2000-04-01,2.3
Tennessee,2000-04-01,3.4
Texas,2000-04-01,4.1
Utah,2000-04-01,3.0
Vermont,2000-04-01,3.0
Virginia,2000-04-01,2.1
Washington,2000-04-01,4.7
West Virginia,2000-04-01,5.5
Wisconsin,2000-04-01,3.2
Wyoming,2000-04-01,3.7
Alabama,2000-05-01,4.2
Alaska,2000-05-01,6.5
Arizona,2000-05-01,3.8
Arkansas,2000-05-01,4.1
California,2000-05-01,4.7
Colorado,2000-05-01,2.5
Connecticut,2000-05-01,2.1
